date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:53	16597/16597	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2240d5-4YItSxnfwpnYBVcShTeNsKPAfEk%22	http://ghost.estudiopatagon.com/rein/style-guide/amp/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/style-guide/amp/index.html	(from http://ghost.estudiopatagon.com/rein/style-guide/)
15:49:55	110598/110598	---M--	200	added ('OK')	image/jpeg	etag:W/%221b006-16c27830852%22	http://ghost.estudiopatagon.com/rein/content/images/size/w1500h500/2019/07/austin-distel-M1aegHe2j6g-unsplash.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w1500h500/2019/07/austin-distel-M1aegHe2j6g-unsplash.jpg	(from http://ghost.estudiopatagon.com/rein/fullwidth/)
15:50:01	55750/55750	---M--	200	added ('OK')	image/jpeg	etag:W/%22d9c6-16bfd0a14ed%22	http://ghost.estudiopatagon.com/rein/content/images/2019/07/alex-knight-1YezU5uMjLw-unsplash-1.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/2019/07/alex-knight-1YezU5uMjLw-unsplash-1.jpg	(from http://ghost.estudiopatagon.com/rein/style-guide/)
15:50:05	21046/21046	---M--	200	added ('OK')	image/jpeg	etag:W/%225236-16c06c6579c%22	http://ghost.estudiopatagon.com/rein/content/images/size/w760h400/2019/07/photo-1531756346973-7b893b8dbbdd.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w760h400/2019/07/photo-1531756346973-7b893b8dbbdd.jpg	(from http://ghost.estudiopatagon.com/rein/apps-integrations/)
15:50:06	17984/17984	---MCZ	200	added ('OK')	text/html	etag:W/%224640-D/o29kcQPi3bJUL2J9Jg8+5IkHM%22	http://ghost.estudiopatagon.com/rein/apps-integrations/amp/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/apps-integrations/amp/index.html	(from http://ghost.estudiopatagon.com/rein/apps-integrations/)
15:50:11	50421/50421	---MCZ	200	added ('OK')	text/javascript	date:Sun,%2009%20May%202021%2010:20:10%20GMT	https://zapier.com/apps/embed/widget.js?services=Ghost&container=true&limit=8	E:/Omkar/Projects/Creative/Rein/zapier.com/apps/embed/widget44b4.js	(from http://ghost.estudiopatagon.com/rein/apps-integrations/)
15:50:12	111086/111086	---M--	200	added ('OK')	image/jpeg	etag:W/%221b1ee-16bfd0a1aae%22	http://ghost.estudiopatagon.com/rein/content/images/2019/07/noah-buscher-iQRgCw9v6YE-unsplash-1.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/2019/07/noah-buscher-iQRgCw9v6YE-unsplash-1.jpg	(from http://ghost.estudiopatagon.com/rein/style-guide/)
15:50:13	152329/152329	---M--	200	added ('OK')	image/jpeg	etag:W/%2225309-16bfd09b5cf%22	http://ghost.estudiopatagon.com/rein/content/images/size/w1500h500/2019/07/sandro-katalina-k1bO_VTiZSs-unsplash-2.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w1500h500/2019/07/sandro-katalina-k1bO_VTiZSs-unsplash-2.jpg	(from http://ghost.estudiopatagon.com/rein/style-guide/)
15:50:13	16597/16597	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2240d5-4YItSxnfwpnYBVcShTeNsKPAfEk%22	http://ghost.estudiopatagon.com/rein/rein/apps-integrations/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/rein/apps-integrations/index.html	(from http://ghost.estudiopatagon.com/rein/apps-integrations/)
15:50:14	34556/34556	---MCZ	200	added ('OK')	text/html	etag:W/%2286fc-CrbK8Bdb+b+AOiqCnPc1QhW3orU%22	http://ghost.estudiopatagon.com/rein/tag/technology/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/tag/technology/index.html	(from http://ghost.estudiopatagon.com/rein/)
